Time,PacketsReceived,ACKsReceived,PacketsLost,Goodput(kbit/s)
0,-1,-1,-1,-1
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,16,1362,0,8.64
5,10,1876,0,6.72
6,10,1869,0,6.72
7,10,1800,0,6.72
8,10,1802,0,6.72
9,10,1787,0,6.72
10,10,1765,0,6.72
11,9,1725,0,6.048
12,10,1754,0,6.72
13,10,1774,0,6.72
14,10,1841,0,6.72
15,10,1869,0,6.72
16,10,1876,0,6.72
17,10,1875,0,6.72
18,10,1870,0,6.72
19,10,1891,0,6.72
20,10,1906,0,6.72
21,10,1910,0,6.72
22,10,1954,0,6.72
23,10,1950,0,6.72
24,10,1975,0,6.72
25,10,1950,0,6.72
26,10,1900,0,6.72
27,10,1919,0,6.72
28,10,1923,0,6.72
29,9,1903,0,6.048
30,10,1890,0,6.72
31,10,1926,0,6.72
32,10,1916,0,6.72
33,10,1887,0,6.72
34,10,1888,0,6.72
35,10,1839,0,6.72
36,10,1871,0,6.72
37,10,1921,0,6.72
38,10,1895,0,6.72
39,10,1856,0,6.72
40,10,1861,0,6.72
41,10,1829,0,6.72
42,10,1863,0,6.72
43,11,1835,0,6.944
44,10,1786,0,6.72
45,9,1854,0,6.048
46,10,1834,0,6.72
47,10,1792,0,6.72
48,10,1827,0,6.72
49,10,1846,0,6.72
50,10,1871,0,6.72
51,10,1855,0,6.72
52,10,1828,0,6.72
53,10,1857,0,6.72
54,10,1897,0,6.72
55,10,1887,0,6.72
56,10,1837,0,6.72
57,10,1884,0,6.72
58,10,1902,0,6.72
59,10,1831,0,6.72
60,10,1884,0,6.72
61,10,1880,0,6.72
62,9,1907,0,6.048
63,10,1923,0,6.72
64,10,1929,0,6.72
65,10,1901,0,6.72
66,10,1955,0,6.72
67,10,1902,0,6.72
68,10,1945,0,6.72
69,10,1958,0,6.72
70,10,1969,0,6.72
71,10,1921,0,6.72
72,10,1916,0,6.72
73,10,1958,0,6.72
74,10,1927,0,6.72
75,10,1908,0,6.72
76,10,1932,0,6.72
77,10,1949,0,6.72
78,10,1942,0,6.72
79,9,1915,0,6.048
80,10,1983,0,6.72
81,11,1955,0,6.944
82,10,2001,0,6.72
83,10,1986,0,6.72
84,10,1979,0,6.72
85,10,1934,0,6.72
86,10,1917,0,6.72
87,10,1982,0,6.72
88,10,1985,0,6.72
89,10,1938,0,6.72
90,10,1965,0,6.72
91,10,2004,0,6.72
92,10,1964,0,6.72
93,10,1961,0,6.72
94,10,1925,0,6.72
95,9,1995,0,6.048
96,10,1935,0,6.72
97,10,1944,0,6.72
98,10,1948,0,6.72
99,10,1917,0,6.72
100,10,1966,0,6.72
101,10,1931,0,6.72
102,10,1950,0,6.72
103,10,1918,0,6.72
104,10,1950,0,6.72
105,10,1935,0,6.72
106,10,1905,0,6.72
107,10,1978,0,6.72
108,10,1927,0,6.72
109,10,1903,0,6.72
110,10,1898,0,6.72
111,10,1893,0,6.72
112,9,1878,0,6.048
113,10,1923,0,6.72
114,10,1899,0,6.72
115,10,1888,0,6.72
116,10,1950,0,6.72
117,10,1871,0,6.72
118,10,1815,0,6.72
119,10,1868,0,6.72
120,11,1923,0,6.944
121,10,1881,0,6.72
122,10,1859,0,6.72
123,10,1857,0,6.72
124,10,1867,0,6.72
125,10,1852,0,6.72
126,10,1871,0,6.72
127,10,1813,0,6.72
128,10,1901,0,6.72
129,9,1854,0,6.048
130,10,1860,0,6.72
131,10,1877,0,6.72
132,10,1835,0,6.72
133,10,1840,0,6.72
134,10,1844,0,6.72
135,10,1850,0,6.72
136,10,1804,0,6.72
137,10,1836,0,6.72
138,10,1861,0,6.72
139,10,1826,0,6.72
140,10,1843,0,6.72
141,10,1876,0,6.72
142,10,1806,0,6.72
143,10,1825,0,6.72
144,10,1803,0,6.72
145,10,1805,0,6.72
146,9,1863,0,6.048
147,10,1816,0,6.72
148,10,1807,0,6.72
149,10,1883,0,6.72
150,10,1771,0,6.72
151,10,1851,0,6.72
152,10,1810,0,6.72
153,10,1805,0,6.72
154,10,1810,0,6.72
155,10,1804,0,6.72
156,10,1811,0,6.72
157,10,1845,0,6.72
158,10,1795,0,6.72
159,11,1848,0,6.944
160,10,1839,0,6.72
161,9,1792,0,6.048
162,11,1805,0,7.392
163,9,1815,0,6.048
164,10,1804,0,6.72
165,10,1854,0,6.72
166,10,1819,0,6.72
167,10,1839,0,6.72
168,10,1822,0,6.72
169,10,1820,0,6.72
170,10,1773,0,6.72
171,10,1819,0,6.72
172,10,1824,0,6.72
173,10,1841,0,6.72
174,10,1823,0,6.72
175,10,1878,0,6.72
176,10,1821,0,6.72
177,10,1824,0,6.72
178,9,1846,0,6.048
179,10,1840,0,6.72
180,10,1837,0,6.72
181,10,1805,0,6.72
182,10,1875,0,6.72
183,10,1883,0,6.72
184,10,1823,0,6.72
185,10,1808,0,6.72
186,10,1837,0,6.72
187,10,1837,0,6.72
188,10,1815,0,6.72
189,10,1825,0,6.72
190,10,1890,0,6.72
191,10,1857,0,6.72
192,10,1856,0,6.72
193,10,1888,0,6.72
194,10,1782,0,6.72
195,9,1883,0,6.048
196,10,1871,0,6.72
197,10,1879,0,6.72
198,11,1878,0,6.944
199,10,1882,0,6.72
200,10,1823,0,6.72
201,10,1892,0,6.72
202,10,1834,0,6.72
203,10,1869,0,6.72
204,10,1896,0,6.72
205,10,1893,0,6.72
206,10,1867,0,6.72
207,10,1926,0,6.72
208,10,1862,0,6.72
209,10,1877,0,6.72
210,10,1927,0,6.72
211,9,1890,0,6.048
212,10,1873,0,6.72
213,10,1883,0,6.72
214,10,1897,0,6.72
215,10,1908,0,6.72
216,10,1930,0,6.72
217,10,1918,0,6.72
218,10,1897,0,6.72
219,10,1889,0,6.72
220,10,1897,0,6.72
221,10,1938,0,6.72
222,10,1914,0,6.72
223,10,1955,0,6.72
224,10,1885,0,6.72
225,10,1873,0,6.72
226,10,1936,0,6.72
227,10,1928,0,6.72
228,9,1947,0,6.048
229,10,1935,0,6.72
230,10,1971,0,6.72
231,10,1919,0,6.72
232,10,1919,0,6.72
233,11,1922,0,6.944
234,10,1899,0,6.72
235,10,1936,0,6.72
236,10,1942,0,6.72
237,10,1908,0,6.72
238,10,1906,0,6.72
239,10,1958,0,6.72
240,10,1957,0,6.72
241,10,1908,0,6.72
242,10,1961,0,6.72
243,10,1950,0,6.72
244,10,1949,0,6.72
245,9,1909,0,6.048
246,10,1943,0,6.72
247,10,1955,0,6.72
248,10,1921,0,6.72
249,10,1957,0,6.72
250,10,1905,0,6.72
251,10,1939,0,6.72
252,10,1901,0,6.72
253,10,1911,0,6.72
254,10,1931,0,6.72
255,10,1913,0,6.72
256,10,1936,0,6.72
257,10,1929,0,6.72
258,10,1959,0,6.72
259,10,1966,0,6.72
260,10,1902,0,6.72
261,10,1906,0,6.72
262,9,1937,0,6.048
263,10,1936,0,6.72
264,10,1869,0,6.72
265,10,1975,0,6.72
266,10,1929,0,6.72
267,10,1919,0,6.72
268,11,1948,0,6.944
269,10,1918,0,6.72
270,10,1969,0,6.72
271,10,1965,0,6.72
272,10,1959,0,6.72
273,10,1948,0,6.72
274,10,1936,0,6.72
275,10,1963,0,6.72
276,10,1945,0,6.72
277,10,1936,0,6.72
278,10,1978,0,6.72
279,10,1970,0,6.72
280,9,1986,0,6.048
281,10,1984,0,6.72
282,10,1942,0,6.72
283,10,1915,0,6.72
284,10,1947,0,6.72
285,10,1998,0,6.72
286,10,1919,0,6.72
287,10,1924,0,6.72
288,10,1932,0,6.72
289,10,1949,0,6.72
290,10,1970,0,6.72
291,10,1916,0,6.72
292,10,1985,0,6.72
293,10,1971,0,6.72
294,10,1937,0,6.72
295,10,1972,0,6.72
296,9,1964,0,6.048
297,10,1953,0,6.72
298,10,1967,0,6.72
299,10,1970,0,6.72
300,10,1954,0,6.72
301,10,1933,0,6.72
302,10,1916,0,6.72
303,11,1967,0,6.944
304,10,453,0,6.64
305,0,0,0,0
